generic_name,category
apa minerala,bauturi
apa minerala light,bauturi
apa minerala mare,bauturi
apa plata,bauturi
apa plata mic,bauturi
biscuiti,dulciuri
branza,lactate
branza eco,lactate
branza mic,lactate
bulion,alimente de baza
bulion light,alimente de baza
bulion mic,alimente de baza
bureti de vase,ingrijire casa
cafea,bauturi
cafea mic,bauturi
carnati,carne
carnati 1l,carne
carnati eco,carne
carnati mic,carne
carne tocata,carne
carne tocata bio,carne
ceafa de porc,carne
ceafa de porc bio,carne
ceai,bauturi
ceai mic,bauturi
chifle,panificatie
ciocolata,dulciuri
ciocolata 1l,dulciuri
cola,bauturi
cola eco,bauturi
cola light,bauturi
cola mic,bauturi
cornuri,panificatie
cornuri bio,panificatie
cornuri eco,panificatie
cornuri extra,panificatie
cornuri light,panificatie
cornuri mic,panificatie
covrigi,panificatie
deodorant,ingrijire personala
deodorant 500g,ingrijire personala
deodorant eco,ingrijire personala
detergent rufe,ingrijire casa
detergent rufe 500g,ingrijire casa
detergent rufe eco,ingrijire casa
detergent vase,ingrijire casa
detergent vase 500g,ingrijire casa
detergent vase light,ingrijire casa
detergent vase mic,ingrijire casa
energizant,bauturi
energizant 500g,bauturi
energizant light,bauturi
faina,alimente de baza
faina 1l,alimente de baza
faina mare,alimente de baza
faina mic,alimente de baza
gel de dus,ingrijire personala
gel de dus 1l,ingrijire personala
gel de dus eco,ingrijire personala
hartie igienica,ingrijire casa
hartie igienica 1l,ingrijire casa
hartie igienica extra,ingrijire casa
hartie igienica mare,ingrijire casa
hartie igienica mic,ingrijire casa
iaurt,lactate
iaurt 1l,lactate
iaurt light,lactate
iaurt mic,lactate
jeleuri,dulciuri
jeleuri bio,dulciuri
jeleuri mare,dulciuri
kefir,lactate
kefir eco,lactate
lapte,lactate
linte,alimente de baza
linte 500g,alimente de baza
linte extra,alimente de baza
malai,alimente de baza
malai bio,alimente de baza
malai light,alimente de baza
malai mare,alimente de baza
muschi de vita,carne
muschi de vita 500g,carne
napolitane,dulciuri
napolitane 500g,dulciuri
napolitane mare,dulciuri
naut,alimente de baza
naut light,alimente de baza
orez,alimente de baza
orez 1l,alimente de baza
orez light,alimente de baza
orez mare,alimente de baza
paine alba,panificatie
paine alba extra,panificatie
paine alba light,panificatie
paine integrala,panificatie
paine integrala 500g,panificatie
paine integrala eco,panificatie
paine integrala extra,panificatie
pasta de dinti,ingrijire personala
pasta de dinti 500g,ingrijire personala
pasta de dinti eco,ingrijire personala
pasta de dinti light,ingrijire personala
paste,alimente de baza
paste eco,alimente de baza
piept de pui,carne
piept de pui 1l,carne
piept de pui 500g,carne
piept de pui mic,carne
prajituri,dulciuri
prajituri eco,dulciuri
pulpe de pui,carne
sampon,ingrijire personala
sampon 500g,ingrijire personala
sampon light,ingrijire personala
sampon mare,ingrijire personala
sapun,ingrijire personala
sare,alimente de baza
sare 1l,alimente de baza
sare light,alimente de baza
smantana,lactate
smantana 1l,lactate
smantana light,lactate
suc de portocale,bauturi
suc de portocale 1l,bauturi
suc de portocale 500g,bauturi
suc de portocale bio,bauturi
ulei,alimente de baza
ulei mare,alimente de baza
unt,lactate
unt 1l,lactate
zahar,dulciuri
zahar bio,alimente de baza
