name,price,category
"Lapte de consum integral Auchan, 3.5% grasime, 1 l","5,79 lei",lactate
"Lapte de consum semidegresat Auchan, 1.5% grasime, 1 l","4,69 lei",lactate
"Lapte UHT integral Auchan, 3.5% grasime, 1 l","5,99 lei",lactate
"Unt Auchan, 82% grasime, 200 g","9,99 lei",lactate
"Lapte UHT semidegresat Auchan, 1.5% grasime, 1 l","4,99 lei",lactate
"Telemea de vaca Hochland, 350 g","16,90 lei",lactate
"Smantana Auchan, 20% grasime, 900 g","13,79 lei",lactate
"Smantana Auchan, 20% grasime, 375 g","6,49 lei",lactate
"Telemea de vaca maturata in saramura Delaco, 800 g","29,99 lei",lactate
"Telemea de vaca natur Hochland, 200 g","11,30 lei",lactate
"Iaurt mic dejun Activia, cu fulgi de cereale si capsuni, 168 g","4,95 lei",lactate
"Chefir Auchan, 3.3% grasime, 900 g","5,79 lei",lactate
"Telemea de vaca in saramura Delaco, 400 g","22,90 lei",lactate
"Cascaval felii Auchan, 150 g","6,39 lei",lactate
"Telemea de vaca in saramura Hochland, 1 kg","56,90 lei",lactate
"Sana Auchan 3.5% grasime, 900 g","5,79 lei",lactate
Branza cremoasa de vaca President 250 g,"12,79 lei",lactate
"Telemea de capra Olympus, 350 g","19,50 lei",lactate
"Iaurt mic dejun Activia, cu fulgi de cereale, 168 g","4,95 lei",lactate
"Branza Fagaras din lapte de vaca Auchan, 8% grasime, 200 g","4,29 lei",lactate
"Telemea de vaca President, 350 g","17,80 lei",lactate
"Telemea de vaca Huedin Napolact, 350 g","19,90 lei",lactate
"Branza extra cremoasa de vaca in saramura Hochland, 400 g","27,20 lei",lactate
"Cascaval clasic Auchan, 400 g","15,59 lei",lactate
"Lapte de consum integral Auchan, 3.5% grasime, 1 l","5,79 lei",lactate
"Lapte de consum semidegresat Auchan, 1.5% grasime, 1 l","4,69 lei",lactate
"Lapte UHT integral Auchan, 3.5% grasime, 1 l","5,99 lei",lactate
"Unt Auchan, 82% grasime, 200 g","9,99 lei",lactate
"Lapte UHT semidegresat Auchan, 1.5% grasime, 1 l","4,99 lei",lactate
"Telemea de vaca Hochland, 350 g","16,90 lei",lactate
"Smantana Auchan, 20% grasime, 900 g","13,79 lei",lactate
"Smantana Auchan, 20% grasime, 375 g","6,49 lei",lactate
"Telemea de vaca maturata in saramura Delaco, 800 g","29,99 lei",lactate
"Telemea de vaca natur Hochland, 200 g","11,30 lei",lactate
"Iaurt mic dejun Activia, cu fulgi de cereale si capsuni, 168 g","4,95 lei",lactate
"Chefir Auchan, 3.3% grasime, 900 g","5,79 lei",lactate
"Telemea de vaca in saramura Delaco, 400 g","22,90 lei",lactate
"Cascaval felii Auchan, 150 g","6,39 lei",lactate
"Telemea de vaca in saramura Hochland, 1 kg","56,90 lei",lactate
"Sana Auchan 3.5% grasime, 900 g","5,79 lei",lactate
Branza cremoasa de vaca President 250 g,"12,79 lei",lactate
"Telemea de capra Olympus, 350 g","19,50 lei",lactate
"Iaurt mic dejun Activia, cu fulgi de cereale, 168 g","4,95 lei",lactate
"Branza Fagaras din lapte de vaca Auchan, 8% grasime, 200 g","4,29 lei",lactate
"Telemea de vaca President, 350 g","17,80 lei",lactate
"Telemea de vaca Huedin Napolact, 350 g","19,90 lei",lactate
"Branza extra cremoasa de vaca in saramura Hochland, 400 g","27,20 lei",lactate
"Cascaval clasic Auchan, 400 g","15,59 lei",lactate
"Telemea de vaca in saramura Hochland, 500 g","31,70 lei",lactate
"Iaurt cu specific grecesc Auchan, 10% grasime, 900g","13,29 lei",lactate
"Telemea de oaie Olympus, 350 g","19,90 lei",lactate
"Branza cremoasa de vaca President, 500 g","24,60 lei",lactate
"Telemea de vaca light Hochland, 150 g","9,45 lei",lactate
"Telemea de vaca proaspata de Ibanesti Mirdatod, 400 g","14,00 lei",lactate
"Smantana Auchan, 20% grasime, 200 g","3,49 lei",lactate
"Telemea de vaca Delaco, 300 g","15,90 lei",lactate
"Unt de masa Auchan, 65% grasime, 200 g","8,69 lei",lactate
"Iaurt cu specific grecesc 10% grasime, 140g Auchan","2,49 lei",lactate
"Telemea de vaca Auchan, 400 g","14,89 lei",lactate
"Branza de vaci dietetica Auchan, 0.5% grasime, 200 g","5,29 lei",lactate
Desert Milk Burger cu crema de lapte si miere 35 g,"2,45 lei",lactate
"Iaurt cu piure de capsuni si banane Danonino, 70 g","3,45 lei",lactate
Desert Milk Burger cu lapte si capsune,"2,45 lei",lactate
"Branza de burduf Auchan La Masa in Romania, 300 g","10,79 lei",lactate
"Cascaval feliat Auchan, fara lactoza, 250 g","11,99 lei",lactate
"Desert Milk Burger cu lapte, banana si miere","2,45 lei",lactate
"Lapte de consum integral Auchan, 3.5% grasime, 1 l","5,79 lei",lactate
"Lapte de consum semidegresat Auchan, 1.5% grasime, 1 l","4,69 lei",lactate
"Lapte UHT integral Auchan, 3.5% grasime, 1 l","5,99 lei",lactate
"Unt Auchan, 82% grasime, 200 g","9,99 lei",lactate
"Lapte UHT semidegresat Auchan, 1.5% grasime, 1 l","4,99 lei",lactate
"Telemea de vaca Hochland, 350 g","16,90 lei",lactate
"Smantana Auchan, 20% grasime, 900 g","13,79 lei",lactate
"Smantana Auchan, 20% grasime, 375 g","6,49 lei",lactate
"Telemea de vaca maturata in saramura Delaco, 800 g","29,99 lei",lactate
"Telemea de vaca natur Hochland, 200 g","11,30 lei",lactate
"Iaurt mic dejun Activia, cu fulgi de cereale si capsuni, 168 g","4,95 lei",lactate
"Chefir Auchan, 3.3% grasime, 900 g","5,79 lei",lactate
"Telemea de vaca in saramura Delaco, 400 g","22,90 lei",lactate
"Cascaval felii Auchan, 150 g","6,39 lei",lactate
"Telemea de vaca in saramura Hochland, 1 kg","56,90 lei",lactate
"Sana Auchan 3.5% grasime, 900 g","5,79 lei",lactate
Branza cremoasa de vaca President 250 g,"12,79 lei",lactate
"Telemea de capra Olympus, 350 g","19,50 lei",lactate
"Iaurt mic dejun Activia, cu fulgi de cereale, 168 g","4,95 lei",lactate
"Branza Fagaras din lapte de vaca Auchan, 8% grasime, 200 g","4,29 lei",lactate
"Telemea de vaca President, 350 g","17,80 lei",lactate
"Telemea de vaca Huedin Napolact, 350 g","19,90 lei",lactate
"Branza extra cremoasa de vaca in saramura Hochland, 400 g","27,20 lei",lactate
"Cascaval clasic Auchan, 400 g","15,59 lei",lactate
"Telemea de vaca in saramura Hochland, 500 g","31,70 lei",lactate
"Iaurt cu specific grecesc Auchan, 10% grasime, 900g","13,29 lei",lactate
"Telemea de oaie Olympus, 350 g","19,90 lei",lactate
"Branza cremoasa de vaca President, 500 g","24,60 lei",lactate
"Telemea de vaca light Hochland, 150 g","9,45 lei",lactate
"Telemea de vaca proaspata de Ibanesti Mirdatod, 400 g","14,00 lei",lactate
"Smantana Auchan, 20% grasime, 200 g","3,49 lei",lactate
"Telemea de vaca Delaco, 300 g","15,90 lei",lactate
"Unt de masa Auchan, 65% grasime, 200 g","8,69 lei",lactate
"Iaurt cu specific grecesc 10% grasime, 140g Auchan","2,49 lei",lactate
"Telemea de vaca Auchan, 400 g","14,89 lei",lactate
"Branza de vaci dietetica Auchan, 0.5% grasime, 200 g","5,29 lei",lactate
Desert Milk Burger cu crema de lapte si miere 35 g,"2,45 lei",lactate
"Iaurt cu piure de capsuni si banane Danonino, 70 g","3,45 lei",lactate
Desert Milk Burger cu lapte si capsune,"2,45 lei",lactate
"Branza de burduf Auchan La Masa in Romania, 300 g","10,79 lei",lactate
"Cascaval feliat Auchan, fara lactoza, 250 g","11,99 lei",lactate
"Desert Milk Burger cu lapte, banana si miere","2,45 lei",lactate
"Telemea de vaca Covalact, 350 g","18,90 lei",lactate
"Iaurt cu specific grecesc 10% grasime, 400g Auchan","6,49 lei",lactate
"Telemea de capra Hochland, 200 g","14,00 lei",lactate
"Branza topita cu smantana Auchan, 125 g","3,49 lei",lactate
"Branza telemea de vaca Pouce, 200 g","6,99 lei",lactate
"Smantana Auchan, 12% grasime, 900 g","10,79 lei",lactate
"Telemea de oaie Hochland, 200 g","13,80 lei",lactate
"Smantana Auchan, 12% grasime, 200 g","2,79 lei",lactate
"Telemea de vaca Olympus, 350 g","16,70 lei",lactate
"Smantana Auchan, 30% grasime, 500 g","14,99 lei",lactate
