name,price,category
piept de pui,"29,99 lei",carne
lapte de consum integral,"5,79 lei",lactate
lapte de consum semidegresat,"4,69 lei",lactate
lapte,"5,99 lei",lactate
unt,"9,99 lei",lactate
telemea de vaca,"16,90 lei",lactate
smantana,"13,79 lei",lactate
telemea de vaca maturata in saramura,"29,99 lei",lactate
telemea de vaca natur,"11,30 lei",lactate
iaurt mic dejun,"4,95 lei",lactate
chefir,"5,79 lei",lactate
telemea de vaca in saramura,"22,90 lei",lactate
cascaval felii,"6,39 lei",lactate
sana,"5,79 lei",lactate
branza cremoasa de vaca,"12,79 lei",lactate
telemea de capra,"19,50 lei",lactate
branza,"4,29 lei",lactate
branza extra cremoasa de vaca in saramura,"27,20 lei",lactate
cascaval clasic,"15,59 lei",lactate
iaurt cu specific grecesc,"13,29 lei",lactate
telemea de oaie,"19,90 lei",lactate
telemea de vaca light,"9,45 lei",lactate
telemea de vaca proaspata de,"14,00 lei",lactate
unt de masa,"8,69 lei",lactate
iaurt cu specific grecesc  grasime,"2,49 lei",lactate
branza de vaci dietetica,"5,29 lei",lactate
desert,"2,45 lei",lactate
iaurt cu piure de capsuni si banane,"3,45 lei",lactate
branza de burduf,"10,79 lei",lactate
cascaval feliat,"11,99 lei",lactate
branza topita cu smantana,"3,49 lei",lactate
branza telemea de vaca,"6,99 lei",lactate
iaurt natur,"1,65 lei",lactate
iaurt de baut,"9,45 lei",lactate
urda de vaca,"10,29 lei",lactate
cascaval feliat de vaca,"12,29 lei",lactate
iaurt cu piure de capsuni,"3,25 lei",lactate
cascaval afumat,"8,59 lei",lactate
telemea de vaca cu verdeata,"9,45 lei",lactate
cascaval rucar,"25,99 lei",lactate
iaurt de baut  grasime,"2,79 lei",lactate
cascaval de capra si vaca,"18,79 lei",lactate
crema de branza cu smantana,"12,94 lei",lactate
telemea de capra in saramura,"30,29 lei",lactate
telemea de oaie in saramura,"29,29 lei",lactate
cascaval de oaie si vaca,"19,99 lei",lactate
budinca,"3,90 lei",lactate
branza afumata harlau,"14,59 lei",lactate
telemea de vaca maturata,"20,60 lei",lactate
lapte de consum semidegresat zuzu,"5,35 lei",lactate
smantana de consum,"11,90 lei",lactate
lapte de vaca integral,"11,90 lei",lactate
iaurt grecesc,"3,25 lei",lactate
lapte de consum integral zuzu,"15,20 lei",lactate
crema de branza,"6,79 lei",lactate
iaurt,"13,25 lei",lactate
amestec tartinabil sarat,"17,90 lei",lactate
lapte de consum semidegresat ladorna,"6,55 lei",lactate
kefir,"12,45 lei",lactate
branza de vaca,"4,29 lei",lactate
piept de pui cu os,"22,19 lei",carne
inner de pui,"16,19 lei",carne
carne tocata de vita,"21,99 lei",carne
file de pui inner,"34,49 lei",carne
piept de pui dezosat feliat fara piele,"33,29 lei",carne
pulpe inferioare de pui,"11,49 lei",carne
carne tocata de porc,"16,99 lei",carne
cotlet de porc fara os,"24,49 lei",carne
ceafa de porc fara os,"25,52 lei",carne
mici de porc,"22,90 lei",carne
pulpa de pui superioara cu os family,"29,99 lei",carne
pulpa de pui dezosata fara piele,"40,59 lei",carne
mici de porcvita cu usturoi,"30,90 lei",carne
carnati de porc grill,"16,99 lei",carne
scaricica marinata,"39,99 lei",carne
mici de porc si vita,"14,45 lei",carne
piept de pui feliat si dezosat,"32,90 lei",carne
mici,"18,90 lei",carne
pulpe intregi cu spate,"12,10 lei",carne
pastrama de oaie afumata,"16,99 lei",carne
pulpe superioare de pui dezosate,"25,90 lei",carne
pulpe de pui inferioare condimentate,"18,79 lei",carne
piept de porc cu os,"38,39 lei",carne
pulpe superioare de pui dezosate condimentate,"28,90 lei",carne
aripi de pui condimentate,"22,90 lei",carne
hamburger din carne de vita ecologica,"75,99 lei",carne
carnati proaspeti cu ceapa,"31,90 lei",carne
mici din carne de vita ecologica,"69,99 lei",carne
scaricica de porc picanta,"35,50 lei",carne
scaricica de porc marinata,"56,85 lei",carne
carne tocata de pui,"10,19 lei",carne
piept de pui dezosat fara piele,"34,39 lei",carne
pulpa de porc fara os,"25,99 lei",carne
carne tocata de porc si vita,"14,99 lei",carne
pulpe de pui inferioare,"29,99 lei",carne
ficat de pui,"14,83 lei",carne
piept de pui dezosat,"35,49 lei",carne
carne de porc lucru,"16,99 lei",carne
spata de porc fara os,"17,90 lei",carne
pulpe de pui intregi,"17,49 lei",carne
